replay_buffer/size,trainer/QF Loss,trainer/Y Predictions Mean,trainer/Y Predictions Std,trainer/Y Predictions Max,trainer/Y Predictions Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
12000,2.3323464,7.429435,1.5879929,11.355315,4.1692476,12000,951,13.698630136986301,2.703042078777115,23,9,1.0,0.0,1.0,1.0,13.698630136986301,2.703042078777115,23.0,9.0,0.641,0.4797072023641087,1,0,73,13.698630136986301,54909,4323,13.254641909814323,2.718223390308986,26,9,1.0,0.0,1.0,1.0,13.254641909814323,2.718223390308986,26.0,9.0,0.6467880728437062,0.4779678458545416,1,0,377,13.254641909814323,0.02702454203972593,1.7174045459832996,0.47546424000756815,0.03657465399010107,0.018951462989207357,4.2569757780293,6.532395223039202,78.14178387727588,10
13000,2.9180264,8.450488,1.929817,12.495181,3.5287223,13000,975,41.666666666666664,16.73983937265296,84,13,1.0,0.0,1.0,1.0,41.666666666666664,16.73983937265296,84.0,13.0,0.516,0.499743934430424,1,0,24,41.666666666666664,59845,4452,38.263565891472865,14.085299049005735,87,20,1.0,0.0,1.0,1.0,38.263565891472865,14.085299049005735,87.0,20.0,0.5149918962722853,0.49977519250775243,1,0,129,38.263565891472865,0.01907953800400719,1.958654796006158,0.36735047900583595,0.03215069102589041,0.015222241985611618,4.0210358499898575,6.413493596017361,84.56821982032852,11
14000,3.8030002,9.395604,2.278425,13.122524,3.4998083,14000,996,47.61904761904762,22.14772091999792,111,5,1.0,0.0,1.0,1.0,47.61904761904762,22.14772091999792,111.0,5.0,0.514,0.4998039615689336,1,0,21,47.61904761904762,64819,4573,41.107438016528924,13.282562764825542,104,23,1.0,0.0,1.0,1.0,41.107438016528924,13.282562764825542,104.0,23.0,0.516485725774025,0.49972814694161827,1,0,121,41.107438016528924,0.02083533100085333,1.9654134710435756,0.3532572319963947,0.026501320011448115,0.014551258995197713,4.013502423011232,6.394061036058702,90.98862659535371,12
15000,2.3201687,9.7458,2.839382,13.653766,2.06203,15000,1016,50.0,16.88786546606764,82,26,1.0,0.0,1.0,1.0,50.0,16.88786546606764,82.0,26.0,0.518,0.4996758949559204,1,0,20,50.0,69762,4673,49.43,19.510640686558705,129,24,1.0,0.0,1.0,1.0,49.43,19.510640686558705,129.0,24.0,0.5181064131094477,0.4996720502532736,1,0,100,49.43,0.018980630033183843,1.9681986499927007,0.3720331219956279,0.027394258009735495,0.014756585005670786,4.016327844990883,6.417691090027802,97.41405414638575,13
16000,2.8875017,10.859156,3.0362182,14.609803,2.447516,16000,1037,47.61904761904762,21.599109749017742,135,17,1.0,0.0,1.0,1.0,47.61904761904762,21.599109749017742,135.0,17.0,0.525,0.4993746088859544,1,0,21,47.61904761904762,74704,4776,47.980582524271846,18.655788857968258,173,26,1.0,0.0,1.0,1.0,47.980582524271846,18.655788857968258,173.0,26.0,0.5246863617968434,0.49939021169946385,1,0,103,47.980582524271846,0.018709930998738855,1.9735518059460446,0.3583477449719794,0.02838136098580435,0.01539101405069232,4.035107518022414,6.429489374975674,103.86228247638792,14
17000,2.7855096,10.858205,4.101401,15.944734,1.0087363,17000,1057,50.0,14.89966442575134,76,25,1.0,0.0,1.0,1.0,50.0,14.89966442575134,76.0,25.0,0.522,0.4995157655169654,1,0,20,50.0,79668,4881,47.27619047619048,14.671316517091137,110,26,1.0,0.0,1.0,1.0,47.27619047619048,14.671316517091137,110.0,26.0,0.5255842062852538,0.4993450193891531,1,0,105,47.27619047619048,0.01931083301315084,1.958507152972743,0.3618029989884235,0.02984492899850011,0.014533448964357376,4.010400947008748,6.394400309945922,110.27091464534169,15
18000,2.6988351,12.459469,3.7895234,17.240587,1.0266907,18000,1078,47.61904761904762,16.873411573851612,74,1,1.0,0.0,1.0,1.0,47.61904761904762,16.873411573851612,74.0,1.0,0.523,0.4994707198625361,1,0,21,47.61904761904762,84663,4987,47.12264150943396,12.619020407357135,82,29,1.0,0.0,1.0,1.0,47.12264150943396,12.619020407357135,82.0,29.0,0.527927927927928,0.4992194215389186,1,0,106,47.12264150943396,0.01919033395824954,1.9678046409972012,0.3603900260059163,0.02723715204047039,0.013650935958139598,3.8050058609806,6.193278949940577,116.48198342631804,16
19000,3.1368012,12.2927685,4.2836976,17.725674,0.38171166,19000,1100,45.45454545454545,18.90340823701394,102,7,1.0,0.0,1.0,1.0,45.45454545454545,18.90340823701394,102.0,7.0,0.526,0.49932354240512244,1,0,22,45.45454545454545,89634,5098,44.78378378378378,12.27933546152535,101,28,1.0,0.0,1.0,1.0,44.78378378378378,12.27933546152535,101.0,28.0,0.5282639307986321,0.49920051103320223,1,0,111,44.78378378378378,0.010259989998303354,1.209642497007735,0.2361999960266985,0.030422918032854795,0.01516882999567315,3.933065162971616,5.434759394032881,121.9252900853171,17
20000,4.5689883,13.063261,4.702871,19.612795,1.0735189,20000,1123,43.47826086956522,8.515303692495372,67,34,1.0,0.0,1.0,1.0,43.47826086956522,8.515303692495372,67.0,34.0,0.529,0.4991582915268462,1,0,23,43.47826086956522,94615,5212,43.69298245614035,11.657485504942214,107,28,1.0,0.0,1.0,1.0,43.69298245614035,11.657485504942214,107.0,28.0,0.5306163420999799,0.49906175930080743,1,0,114,43.69298245614035,0.018901250965427607,1.945042702020146,0.36825972801307216,0.029090146999806166,0.015164721000473946,4.153140541049652,6.529599090048578,128.47338920342736,18
21000,1.7664545,13.728739,4.8971953,20.163033,2.141907,21000,1145,45.45454545454545,12.971042127920851,75,15,1.0,0.0,1.0,1.0,45.45454545454545,12.971042127920851,75.0,15.0,0.527,0.499270467782744,1,0,22,45.45454545454545,99583,5330,42.101694915254235,8.208500999128038,64,27,1.0,0.0,1.0,1.0,42.101694915254235,8.208500999128038,64.0,27.0,0.5316022544283414,0.49900029811117985,1,0,118,42.101694915254235,0.019629859016276896,2.2519095090101473,0.3778693280182779,0.026844102947507054,0.014475661038886756,4.017341032973491,6.7080694930045865,135.18897744239075,19
